"User","Year","Month","F1","F2","F3"
"MAC000077",2012,1,25.86425,42.95775,22.9773333333333
"MAC000077",2012,2,26.5485,39.627,25.0185
"MAC000077",2012,4,28.5785,41.7055,17.1953333333333
"MAC000077",2012,5,24.713,38.6685,17.7141666666667
"MAC000077",2012,6,21.487,34.072,13.7278333333333
"MAC000077",2012,7,24.042,37.2635,13.6356666666667
"MAC000077",2012,8,22.032,32.9235,17.0726666666667
"MAC000077",2012,9,20.622,34.769,12.4406666666667
"MAC000077",2012,10,20.2105,41.015,15.3855
"MAC000077",2012,11,20.385,39.1625,21.5391666666667
"MAC000077",2012,12,21.314,38.644,23.6248333333333
"MAC000156",2012,1,44.6095,77.42,56.1376666666667
"MAC000156",2012,2,39.144,71.1005,52.8351666666667
"MAC000156",2012,4,36.0535,67.535,50.7193333333333
"MAC000156",2012,5,35.8745,66.1075,50.3140833333333
"MAC000156",2012,6,34.403,62.837,47.6736666666667
"MAC000156",2012,7,35.20125,64.5655,50.75475
"MAC000156",2012,8,34.75325,70.7325,49.1770833333333
"MAC000156",2012,9,35.2718333333333,67.7996666666667,52.1658333333333
"MAC000156",2012,10,45.775,76.93,56.4895
"MAC000156",2012,11,48.20775,78.9085,58.59925
"MAC000156",2012,12,58.0550833333333,82.9070454442941,62.2024747406405
"MAC000202",2012,1,52.2742849576271,92.6634526971969,66.6922906651611
"MAC000202",2012,2,50.4428113592768,89.4908526890615,64.3325933534743
"MAC000202",2012,4,44.5654149159664,72.4537848739496,31.7831699579832
"MAC000202",2012,5,41.681675,71.1919083333333,29.8039166666667
"MAC000202",2012,6,26.366975,47.9151074061196,22.11325
"MAC000202",2012,7,35.2220416666667,55.6811808367071,23.3249583333333
"MAC000202",2012,8,30.4437561545373,53.703472821204,25.54775
"MAC000202",2012,9,33.893175,60.9841095376845,28.7548888888889
"MAC000202",2012,10,39.7935991289199,70.6132292102207,28.6473333333333
"MAC000202",2012,11,45.586619047619,72.197217591665,29.8679886462299
"MAC000202",2012,12,44.8013744517971,73.7265497729337,34.7286666666667
