User,Year,Month,F1,F2,F3
MAC000127,2012,1,52.91191666666666,85.15033333333334,32.32233333333333
MAC000127,2012,2,47.94683333333333,78.06066666666666,28.865166666666667
MAC000127,2012,4,36.79825,68.29025,31.684916666666663
MAC000127,2012,5,30.85525,52.7435,30.86058333333333
MAC000127,2012,6,35.66325,65.038,31.164666666666665
MAC000127,2012,7,34.448,56.48725,32.87533333333333
MAC000127,2012,8,38.6005,67.92925,34.131
MAC000127,2012,9,31.550166666666662,54.72983333333333,29.793916666666668
MAC000127,2012,10,51.1055,79.68925,35.3625
MAC000127,2012,11,37.29066666666667,59.66783333333333,30.42725
MAC000127,2012,12,43.2125,72.49241673396142,32.971133333333334
MAC004526,2012,1,32.468,46.4085,28.469
MAC004526,2012,2,26.9945,43.32125,25.6515
MAC004526,2012,4,31.6445,38.61825,25.52383333333333
MAC004526,2012,5,31.9845,42.10725,28.863166666666668
MAC004526,2012,6,31.4615,43.982,30.287166666666668
MAC004526,2012,7,34.116,47.316,34.00666666666667
MAC004526,2012,8,34.17925,51.3155,35.870666666666665
MAC004526,2012,9,31.57025,44.3695,30.614
MAC004526,2012,10,32.5245,43.4375,28.793333333333333
MAC004526,2012,11,32.4035,49.53,29.179166666666667
MAC004526,2012,12,34.03725,48.5045,28.33416666666667
