Year,Month,Hour,Aggregate load
2012,1,0,5.716521505241353
2012,1,1,4.996356023921381
2012,1,2,4.5629128799467615
2012,1,3,4.386603190163383
2012,1,4,4.280167876422958
2012,1,5,4.631662124551399
2012,1,6,5.537495799792536
2012,1,7,6.485715525796492
2012,1,8,6.836194101899322
2012,1,9,6.81370541311502
2012,1,10,6.761151154290949
2012,1,11,6.755305788639307
2012,1,12,6.768652608663197
2012,1,13,6.667015827711113
2012,1,14,6.630081347501182
2012,1,15,6.844067260929584
2012,1,16,7.341066941942704
2012,1,17,8.124273710264843
2012,1,18,8.769978766526776
2012,1,19,9.093628103603416
2012,1,20,9.202191530380997
2012,1,21,8.85325273031756
2012,1,22,7.974860241218085
2012,1,23,6.763635955188696
2012,2,0,5.2233248010534
2012,2,1,4.576785448425811
2012,2,2,4.189192919839618
2012,2,3,4.032972871814954
2012,2,4,3.938140291794205
2012,2,5,4.256974196257446
2012,2,6,5.074018696160399
2012,2,7,5.923432806951295
2012,2,8,6.233793018236227
2012,2,9,6.210156652340139
2012,2,10,6.161225233186207
2012,2,11,6.155574336716684
2012,2,12,6.1677369217396665
2012,2,13,6.072521905494045
2012,2,14,6.037541018509477
2012,2,15,6.232134351787857
2012,2,16,6.679022688579095
2012,2,17,7.380681143868013
2012,2,18,7.9614503465010245
2012,2,19,8.251869643540775
2012,2,20,8.348554303174843
2012,2,21,8.031158931822318
2012,2,22,7.240443289333939
2012,2,23,6.15910117539117
2012,4,0,5.154199574674827
2012,4,1,4.505046719858204
2012,4,2,4.116150974740953
2012,4,3,3.945401093179738
2012,4,4,3.8604411219525367
2012,4,5,4.122979793266228
2012,4,6,4.8870828770348
2012,4,7,5.716986970297432
2012,4,8,6.036345749274576
2012,4,9,6.057572453229174
2012,4,10,6.0344682207063975
2012,4,11,6.014452948624125
2012,4,12,6.04628531542331
2012,4,13,6.014365758485598
2012,4,14,5.980802720009408
2012,4,15,6.137125470867276
2012,4,16,6.573399787132189
2012,4,17,7.258573964329164
2012,4,18,7.77970254560108
2012,4,19,8.049970894076033
2012,4,20,8.137684903498021
2012,4,21,7.908708250034717
2012,4,22,7.1973489849200245
2012,4,23,6.126448549207209
2012,5,0,4.463404672943547
2012,5,1,3.9153441339190787
2012,5,2,3.5858784515204842
2012,5,3,3.454198692407599
2012,5,4,3.378321153092881
2012,5,5,3.661735744719536
2012,5,6,4.38852979458096
2012,5,7,5.09439021879094
2012,5,8,5.304209739968456
2012,5,9,5.269071822937925
2012,5,10,5.23556047046086
2012,5,11,5.230314906820356
2012,5,12,5.26903588926057
2012,5,13,5.2030764488078205
2012,5,14,5.144554775814843
2012,5,15,5.301359310646949
2012,5,16,5.700690383318148
2012,5,17,6.33621946713515
2012,5,18,6.861208363692205
2012,5,19,7.147084474273638
2012,5,20,7.235864234141708
2012,5,21,6.987664507580563
2012,5,22,6.256019173117819
2012,5,23,5.285031493345423
2012,6,0,3.868318618681716
2012,6,1,3.390954711200421
2012,6,2,3.103428168098629
2012,6,3,2.989681749439845
2012,6,4,2.9222284695157885
2012,6,5,3.1749442349715005
2012,6,6,3.813864478402272
2012,6,7,4.431737864282618
2012,6,8,4.614116446082381
2012,6,9,4.579151351252911
2012,6,10,4.547640303340432
2012,6,11,4.544874890252258
2012,6,12,4.576728734278238
2012,6,13,4.51340986509083
2012,6,14,4.462374576703988
2012,6,15,4.602549716271602
2012,6,16,4.95193524432367
2012,6,17,5.508927482964171
2012,6,18,5.973635928940335
2012,6,19,6.225848620891612
2012,6,20,6.304646845129675
2012,6,21,6.079711001553195
2012,6,22,5.432463564477823
2012,6,23,4.582052328351202
2012,7,0,3.9211601077538276
2012,7,1,3.496486950946366
2012,7,2,3.2517999395051014
2012,7,3,3.145369336927055
2012,7,4,3.102421178582938
2012,7,5,3.2659362062108652
2012,7,6,3.7703079972359372
2012,7,7,4.281716755803073
2012,7,8,4.446315931752134
2012,7,9,4.458949195100366
2012,7,10,4.451370833961579
2012,7,11,4.426862696362363
2012,7,12,4.47201065992166
2012,7,13,4.469697124063783
2012,7,14,4.425368392223168
2012,7,15,4.516927553813973
2012,7,16,4.807579734698822
2012,7,17,5.25093642959347
2012,7,18,5.574586966471012
2012,7,19,5.753513895598312
2012,7,20,5.802953236336805
2012,7,21,5.688776169453604
2012,7,22,5.234815228295124
2012,7,23,4.560524135990958
2012,8,0,3.550292889514706
2012,8,1,3.114662964291169
2012,8,2,2.8531792474543707
2012,8,3,2.7462886898219003
2012,8,4,2.688083474000072
2012,8,5,2.9029233951783384
2012,8,6,3.47044433107093
2012,8,7,4.026758039726845
2012,8,8,4.19438430129258
2012,8,9,4.17443275059563
2012,8,10,4.152372983090383
2012,8,11,4.145357704172037
2012,8,12,4.1797885345211805
2012,8,13,4.138655541479318
2012,8,14,4.092202450914474
2012,8,15,4.209917747962973
2012,8,16,4.524976092589847
2012,8,17,5.025855761085168
2012,8,18,5.431270169686441
2012,8,19,5.65414001701957
2012,8,20,5.722695296706435
2012,8,21,5.541644087265548
2012,8,22,4.975857145200782
2012,8,23,4.208553511848517
2012,9,0,3.922219375871795
2012,9,1,3.5183574017613717
2012,9,2,3.2865482377889284
2012,9,3,3.2066441142418443
2012,9,4,3.1511636696571435
2012,9,5,3.3898038811031177
2012,9,6,3.9486027717792003
2012,9,7,4.467988685610063
2012,9,8,4.6165399482486364
2012,9,9,4.563547357645748
2012,9,10,4.516918576028216
2012,9,11,4.51384235887502
2012,9,12,4.525534857199896
2012,9,13,4.427669834444629
2012,9,14,4.385330980936064
2012,9,15,4.5310087399456
2012,9,16,4.8232542885628495
2012,9,17,5.266545835005947
2012,9,18,5.659801912525285
2012,9,19,5.855612519531062
2012,9,20,5.914604662013624
2012,9,21,5.672356499814397
2012,9,22,5.128414461792403
2012,9,23,4.47699091035731
2012,10,0,4.860394223331891
2012,10,1,4.22542818330426
2012,10,2,3.841263922909252
2012,10,3,3.6741320505255
2012,10,4,3.586222381194186
2012,10,5,3.855706665229678
2012,10,6,4.615650321148882
2012,10,7,5.438451196492904
2012,10,8,5.7542810818354475
2012,10,9,5.766867319246368
2012,10,10,5.740216894304022
2012,10,11,5.726378819090686
2012,10,12,5.752626400434083
2012,10,13,5.710399636901737
2012,10,14,5.679151384429672
2012,10,15,5.838757884446208
2012,10,16,6.269580159354122
2012,10,17,6.952819357035103
2012,10,18,7.483353822651734
2012,10,19,7.75821441000819
2012,10,20,7.849507161534281
2012,10,21,7.606608607963512
2012,10,22,6.8833796023114155
2012,10,23,5.812593193244506
2012,11,0,5.284692732712836
